"Date","Total","Died","Estimated Recovered *","Estimated Active"
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,1,0,0,1
2020-03-09,2,0,0,2
2020-03-10,2,0,0,2
2020-03-11,3,0,0,3
2020-03-12,4,0,0,4
2020-03-13,9,0,0,9
2020-03-14,14,0,0,14
2020-03-15,26,0,0,26
2020-03-16,38,0,0,38
2020-03-17,52,0,0,52
2020-03-18,61,0,0,61
2020-03-19,95,0,0,95
2020-03-20,121,0,0,121
2020-03-21,143,0,0,143
2020-03-22,225,1,0,224
2020-03-23,256,1,0,255
2020-03-24,324,1,0,323
2020-03-25,364,1,0,363
2020-03-26,450,3,0,447
2020-03-27,574,4,1,569
2020-03-28,689,5,1,683
2020-03-29,789,7,1,781
2020-03-30,902,7,2,893
2020-03-31,984,9,2,973
2020-04-01,1065,9,3,1053
2020-04-02,1268,10,4,1254
2020-04-03,1424,10,9,1405
2020-04-04,1591,15,14,1562
2020-04-05,1664,15,26,1623
2020-04-06,1730,15,38,1677
2020-04-07,1815,16,51,1748
2020-04-08,1965,17,60,1888
2020-04-09,2090,19,93,1978
2020-04-10,2210,22,119,2069
2020-04-11,2310,22,139,2149
2020-04-12,2369,22,219,2128
2020-04-13,2416,22,250,2144
2020-04-14,2538,23,317,2198
2020-04-15,2675,24,355,2296
2020-04-16,2805,25,440,2340
2020-04-17,2940,26,562,2352
2020-04-18,3072,29,676,2367
2020-04-19,3220,30,773,2417
2020-04-20,3309,35,885,2389
2020-04-21,3447,35,967,2445
2020-04-22,3608,37,1047,2524
2020-04-23,3764,43,1245,2476
2020-04-24,3945,43,1398,2504
2020-04-25,4127,45,1565,2517
2020-04-26,4237,46,1638,2553
2020-04-27,4332,47,1703,2582
2020-04-28,4479,47,1788,2644
2020-04-29,4654,47,1936,2671
2020-04-30,4810,50,2060,2700
2020-05-01,4967,53,2180,2734
2020-05-02,5154,56,2277,2821
2020-05-03,5287,57,2336,2894
2020-05-04,5416,58,2381,2977
2020-05-05,5571,61,2502,3008
2020-05-06,5699,64,2635,3000
2020-05-07,5893,66,2761,3066
2020-05-08,6078,70,2890,3118
2020-05-09,6229,73,3021,3135
2020-05-10,6345,75,3167,3103
2020-05-11,6418,78,3254,3086
2020-05-12,6601,79,3389,3133
2020-05-13,6730,83,3546,3101
2020-05-14,6894,86,3698,3110
2020-05-15,7047,90,3875,3082
2020-05-16,7219,93,4054,3072
2020-05-17,7367,95,4163,3109
2020-05-18,7504,98,4256,3150
2020-05-19,7703,98,4402,3203
2020-05-20,7863,100,4574,3189
2020-05-21,8057,103,4726,3228
2020-05-22,8240,105,4878,3257
2020-05-23,8380,107,5058,3215
2020-05-24,8511,109,5189,3213
2020-05-25,8606,111,5318,3177
2020-05-26,8691,112,5471,3108
2020-05-27,8928,112,5598,3218
2020-05-28,9261,116,5789,3356
2020-05-29,9538,116,5971,3451
2020-05-30,9810,118,6116,3576
2020-05-31,10017,120,6232,3665
2020-06-01,10219,123,6298,3798
2020-06-02,10500,123,6480,3897
2020-06-03,10811,126,6607,4078
2020-06-04,11263,128,6770,4365
2020-06-05,11812,128,6921,4763
2020-06-06,12090,131,7091,4868
2020-06-07,12373,134,7236,5003
2020-06-08,12569,134,7371,5064
2020-06-09,12881,139,7565,5177
2020-06-10,13254,143,7723,5388
2020-06-11,13590,144,7915,5531
2020-06-12,13991,149,8094,5748
2020-06-13,14332,150,8231,5951
2020-06-14,14635,152,8361,6122
2020-06-15,14953,153,8453,6347
2020-06-16,15376,154,8535,6687
2020-06-17,15864,159,8765,6940
2020-06-18,16468,162,9096,7210
2020-06-19,17115,164,9372,7579
2020-06-20,17528,166,9644,7718
2020-06-21,17981,168,9847,7966
2020-06-22,18348,171,10046,8131
2020-06-23,18838,172,10323,8343
2020-06-24,19441,176,10632,8633
2020-06-25,20093,177,11082,8834
2020-06-26,20660,178,11629,8853
2020-06-27,21157,181,11906,9070
2020-06-28,21755,183,12187,9385
2020-06-29,22290,186,12381,9723
2020-06-30,22803,190,12693,9920
2020-07-01,23370,193,13065,10112
2020-07-02,23992,195,13400,10397
2020-07-03,24670,198,13799,10673
2020-07-04,25081,202,14137,10742
2020-07-05,25615,208,14437,10970
2020-07-06,26200,212,14753,11235
2020-07-07,26949,219,15175,11555
2020-07-08,27575,226,15659,11690
2020-07-09,28450,230,16261,11959
2020-07-10,29075,232,16900,11943
2020-07-11,29718,238,17308,12172
2020-07-12,30308,240,17759,12309
2020-07-13,30786,244,18124,12418
2020-07-14,31247,247,18607,12393
2020-07-15,31955,252,19205,12498
2020-07-16,32702,257,19853,12592
2020-07-17,33444,262,20417,12765
2020-07-18,34247,266,20911,13070
2020-07-19,34659,272,21505,12882
2020-07-20,35106,279,22036,12791
2020-07-21,35662,284,22543,12835
2020-07-22,36174,290,23102,12782
2020-07-23,37044,299,23723,13022
2020-07-24,37711,302,24395,13014
2020-07-25,38068,306,24801,12961
2020-07-26,38503,311,25327,12865
2020-07-27,38925,313,25905,12707
2020-07-28,39265,317,26643,12305
2020-07-29,39761,323,27258,12180
2020-07-30,40269,326,28127,11816
2020-07-31,40759,328,28744,11687
2020-08-01,41240,331,29379,11530
2020-08-02,41581,337,29954,11290
2020-08-03,41950,340,30424,11186
2020-08-04,42361,343,30882,11136
2020-08-05,42939,346,31587,11006
2020-08-06,43392,351,32333,10708
2020-08-07,43776,357,33075,10344
2020-08-08,44157,360,33872,9925
2020-08-09,44428,365,34279,9784
2020-08-10,44780,368,34724,9688
2020-08-11,45102,369,35272,9461
